index (hr),datetime,GHI,Temperature,Relative_Humidity
0,2015-04-01 00:00:00,0,18.73067627,100
0.5,2015-04-01 00:30:00,0,18.77321777,100
1,2015-04-01 01:00:00,0,18.81578979,100
1.5,2015-04-01 01:30:00,0,18.86428223,100
2,2015-04-01 02:00:00,0,18.91280518,100
2.5,2015-04-01 02:30:00,0,18.95308838,100
3,2015-04-01 03:00:00,0,18.99337158,100
3.5,2015-04-01 03:30:00,0,19.01146851,100
4,2015-04-01 04:00:00,0,19.02959595,100
4.5,2015-04-01 04:30:00,0,19.00859985,100
5,2015-04-01 05:00:00,0,18.98763428,100
5.5,2015-04-01 05:30:00,0,19.00286255,100
6,2015-04-01 06:00:00,0,19.01809082,100
6.5,2015-04-01 06:30:00,6,19.28444824,100
7,2015-04-01 07:00:00,38,19.55080566,99.7241745
7.5,2015-04-01 07:30:00,81,20.12514648,97.33789825
8,2015-04-01 08:00:00,243,20.6994873,95.0125351
8.5,2015-04-01 08:30:00,420,21.77095947,89.42228699
9,2015-04-01 09:00:00,527,22.84240112,84.20436859
9.5,2015-04-01 09:30:00,445,23.66256104,80.31682587
10,2015-04-01 10:00:00,568,24.48272095,76.6319809
10.5,2015-04-01 10:30:00,534,24.85518799,75.16561127
11,2015-04-01 11:00:00,393,25.22762451,73.73130035
11.5,2015-04-01 11:30:00,560,25.2968689,73.50236511
12,2015-04-01 12:00:00,467,25.36608276,73.27424622
12.5,2015-04-01 12:30:00,388,25.19640503,73.83048248
13,2015-04-01 13:00:00,684,25.02672729,74.39156342
13.5,2015-04-01 13:30:00,901,24.65758667,75.98249054
14,2015-04-01 14:00:00,377,24.28847656,77.61206818
14.5,2015-04-01 14:30:00,558,23.92907104,80.72200012
15,2015-04-01 15:00:00,724,23.56969604,83.93547821
15.5,2015-04-01 15:30:00,564,23.30840454,86.7511673
16,2015-04-01 16:00:00,541,23.04714355,89.63816071
16.5,2015-04-01 16:30:00,437,22.76790771,90.76091766
17,2015-04-01 17:00:00,277,22.48864136,91.8993988
17.5,2015-04-01 17:30:00,138,22.17723999,93.18796539
18,2015-04-01 18:00:00,72,21.86583862,94.49653625
18.5,2015-04-01 18:30:00,18,21.63994751,95.47731781
19,2015-04-01 19:00:00,0,21.4140564,96.46939087
19.5,2015-04-01 19:30:00,0,21.27272949,97.23563385
20,2015-04-01 20:00:00,0,21.13140259,98.00876617
20.5,2015-04-01 20:30:00,0,20.95888672,98.82293701
21,2015-04-01 21:00:00,0,20.78640137,99.64440155
21.5,2015-04-01 21:30:00,0,20.60430298,99.93592072
22,2015-04-01 22:00:00,0,20.42223511,100
22.5,2015-04-01 22:30:00,0,20.26772461,100
23,2015-04-01 23:00:00,0,20.11318359,100
23.5,2015-04-01 23:30:00,0,19.98104248,100
24,2015-04-02 00:00:00,0,19.84887085,99.91973114
24.5,2015-04-02 00:30:00,0,19.68776855,99.91429901
25,2015-04-02 01:00:00,0,19.52663574,99.90088654
25.5,2015-04-02 01:30:00,0,19.35082397,100
26,2015-04-02 02:00:00,0,19.17501221,100
26.5,2015-04-02 02:30:00,0,19.08867798,100
27,2015-04-02 03:00:00,0,19.00231323,100
27.5,2015-04-02 03:30:00,0,18.93877563,100
28,2015-04-02 04:00:00,0,18.87523804,100
28.5,2015-04-02 04:30:00,0,18.85030518,100
29,2015-04-02 05:00:00,0,18.82537231,100
29.5,2015-04-02 05:30:00,0,18.84707031,100
30,2015-04-02 06:00:00,0,18.86879883,100
30.5,2015-04-02 06:30:00,16,19.12279663,100
31,2015-04-02 07:00:00,96,19.37676392,99.86116028
31.5,2015-04-02 07:30:00,200,19.86278687,98.92822266
32,2015-04-02 08:00:00,63,20.34884033,97.97571564
32.5,2015-04-02 08:30:00,125,20.99160156,96.12637329
33,2015-04-02 09:00:00,200,21.63439331,94.29338837
33.5,2015-04-02 09:30:00,275,22.73427734,90.80446625
34,2015-04-02 10:00:00,247,23.83419189,87.4237442
34.5,2015-04-02 10:30:00,309,24.75542603,83.77400208
35,2015-04-02 11:00:00,411,25.67669067,80.29501343
35.5,2015-04-02 11:30:00,595,26.32207642,77.64308929
36,2015-04-02 12:00:00,607,26.96749268,75.09087372
36.5,2015-04-02 12:30:00,936,27.11254272,74.48968506
37,2015-04-02 13:00:00,929,27.25762329,73.89379883
37.5,2015-04-02 13:30:00,906,27.32796631,73.71321106
38,2015-04-02 14:00:00,865,27.39830933,73.53294373
38.5,2015-04-02 14:30:00,808,27.38833008,73.76820374
39,2015-04-02 15:00:00,736,27.37838135,74.00350952
39.5,2015-04-02 15:30:00,651,27.08800659,75.11579895
40,2015-04-02 16:00:00,554,26.79760132,76.24754333
40.5,2015-04-02 16:30:00,346,26.26589355,78.5934906
41,2015-04-02 17:00:00,261,25.73418579,81.02169037
41.5,2015-04-02 17:30:00,226,24.89138184,84.77114105
42,2015-04-02 18:00:00,119,24.0486084,88.7204361
42.5,2015-04-02 18:30:00,30,23.50252686,91.33863831
43,2015-04-02 19:00:00,0,22.95641479,94.045784
43.5,2015-04-02 19:30:00,0,22.6090332,95.34368134
44,2015-04-02 20:00:00,0,22.26165161,96.65929413
44.5,2015-04-02 20:30:00,0,21.9427124,96.95972443
45,2015-04-02 21:00:00,0,21.62377319,97.23912048
45.5,2015-04-02 21:30:00,0,21.27910767,97.32887268
46,2015-04-02 22:00:00,0,20.93444214,97.38456726
46.5,2015-04-02 22:30:00,0,20.59420166,97.88819122
47,2015-04-02 23:00:00,0,20.25396118,98.37566376
47.5,2015-04-02 23:30:00,0,19.91799316,99.15700531
48,2015-04-03 00:00:00,0,19.58202515,99.93330383
48.5,2015-04-03 00:30:00,0,19.40810547,99.50001526
49,2015-04-03 01:00:00,0,19.23421631,99.04780579
49.5,2015-04-03 01:30:00,0,19.11776123,98.65549469
50,2015-04-03 02:00:00,0,19.00127563,98.25418854
50.5,2015-04-03 02:30:00,0,18.92492065,98.14720917
51,2015-04-03 03:00:00,0,18.84859619,98.03720856
51.5,2015-04-03 03:30:00,0,18.77242432,98.27274323
52,2015-04-03 04:00:00,0,18.69628296,98.50841522
52.5,2015-04-03 04:30:00,0,18.66225586,98.74610901
53,2015-04-03 05:00:00,0,18.62819824,98.98459625
53.5,2015-04-03 05:30:00,0,18.71074829,98.77430725
54,2015-04-03 06:00:00,0,18.79332886,98.56380463
54.5,2015-04-03 06:30:00,19,19.2427002,96.68648529
55,2015-04-03 07:00:00,100,19.69204102,94.8481369
55.5,2015-04-03 07:30:00,204,20.52788696,91.11360931
56,2015-04-03 08:00:00,111,21.36370239,87.54529572
56.5,2015-04-03 08:30:00,149,22.46560059,83.58686066
57,2015-04-03 09:00:00,122,23.56749878,79.82137299
57.5,2015-04-03 09:30:00,144,24.00844727,77.97237396
58,2015-04-03 10:00:00,379,24.44936523,76.17255402
58.5,2015-04-03 10:30:00,783,24.66863403,76.06990814
59,2015-04-03 11:00:00,841,24.88790283,75.95885468
59.5,2015-04-03 11:30:00,884,25.08168945,76.18949127
60,2015-04-03 12:00:00,245,25.27547607,76.40628815
60.5,2015-04-03 12:30:00,248,25.43447266,75.12788391
61,2015-04-03 13:00:00,914,25.59343872,73.86804962
61.5,2015-04-03 13:30:00,890,25.61901245,70.28459167
62,2015-04-03 14:00:00,850,25.64458618,66.71784973
62.5,2015-04-03 14:30:00,795,25.69417725,61.68925095
63,2015-04-03 15:00:00,725,25.74376831,56.69747543
63.5,2015-04-03 15:30:00,641,25.23101196,54.17277145
64,2015-04-03 16:00:00,176,24.71828613,51.4480896
64.5,2015-04-03 16:30:00,129,23.79750977,51.7048645
65,2015-04-03 17:00:00,167,22.87676392,51.84646225
65.5,2015-04-03 17:30:00,159,21.67250977,53.72999954
66,2015-04-03 18:00:00,84,20.46825562,55.63815689
66.5,2015-04-03 18:30:00,22,19.64324341,56.93790436
67,2015-04-03 19:00:00,0,18.81820068,58.23960114
67.5,2015-04-03 19:30:00,0,18.31411133,59.29750824
68,2015-04-03 20:00:00,0,17.81005249,60.37028503
68.5,2015-04-03 20:30:00,0,17.39187012,60.85271072
69,2015-04-03 21:00:00,0,16.97365723,61.32221222
69.5,2015-04-03 21:30:00,0,16.50472412,61.05922318
70,2015-04-03 22:00:00,0,16.03582153,60.73089218
70.5,2015-04-03 22:30:00,0,15.52022705,60.08239365
71,2015-04-03 23:00:00,0,15.00463257,59.33098602
